instrument,exchange,tm,value,type,timeinterval
BTCUSD_PERP,binance,2022/2/17 21:57,8153579,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:57,74692.601,,minutes
BTCUSDT,binance,2022/2/17 21:56,74705.512,,minutes
BTCUSD_PERP,binance,2022/2/17 21:56,8163160,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:55,8161543,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:55,74679.098,,minutes
BTCUSDT,binance,2022/2/17 21:54,74673.537,,minutes
BTCUSD_PERP,binance,2022/2/17 21:54,8180847,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:53,8186629,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:53,74685.387,,minutes
BTCUSDT,binance,2022/2/17 21:52,74683.098,,minutes
BTCUSD_PERP,binance,2022/2/17 21:52,8200514,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:51,8201094,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:51,74692.974,,minutes
BTCUSDT,binance,2022/2/17 21:50,74685.679,,minutes
BTCUSD_PERP,binance,2022/2/17 21:50,8201157,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:49,8202493,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:49,74647.452,,minutes
BTCUSDT,binance,2022/2/17 21:48,74719.411,,minutes
BTCUSD_PERP,binance,2022/2/17 21:48,8203400,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:47,8212520,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:47,74722.105,,minutes
BTCUSDT,binance,2022/2/17 21:46,74691.257,,minutes
BTCUSD_PERP,binance,2022/2/17 21:46,8212373,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:45,8211538,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:45,74655.547,,minutes
BTCUSDT,binance,2022/2/17 21:44,74613.8,,minutes
BTCUSD_PERP,binance,2022/2/17 21:44,8210014,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:43,8217190,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:43,74629.534,,minutes
BTCUSDT,binance,2022/2/17 21:42,74616.069,,minutes
BTCUSD_PERP,binance,2022/2/17 21:42,8217365,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:41,8217133,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:41,74604.807,,minutes
BTCUSDT,binance,2022/2/17 21:40,74582.293,,minutes
BTCUSD_PERP,binance,2022/2/17 21:40,8219371,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:39,8218944,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:39,74605.992,,minutes
BTCUSDT,binance,2022/2/17 21:38,74500.009,,minutes
BTCUSD_PERP,binance,2022/2/17 21:38,8233097,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:37,8238334,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:37,74453.597,,minutes
BTCUSDT,binance,2022/2/17 21:36,74486.357,,minutes
BTCUSD_PERP,binance,2022/2/17 21:36,8242664,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:35,8253471,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:35,74404.788,,minutes
BTCUSDT,binance,2022/2/17 21:34,74360.128,,minutes
BTCUSD_PERP,binance,2022/2/17 21:34,8252674,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:33,8259270,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:33,74477.802,,minutes
BTCUSDT,binance,2022/2/17 21:32,74458.708,,minutes
BTCUSD_PERP,binance,2022/2/17 21:32,8263896,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:31,8258430,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:31,74532.074,,minutes
BTCUSDT,binance,2022/2/17 21:30,74638.698,,minutes
BTCUSD_PERP,binance,2022/2/17 21:30,8258843,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:29,8243147,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:29,74652.294,,minutes
BTCUSDT,binance,2022/2/17 21:28,74739.626,,minutes
BTCUSD_PERP,binance,2022/2/17 21:28,8244327,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:27,8248287,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:27,74697.924,,minutes
BTCUSDT,binance,2022/2/17 21:26,74632.377,,minutes
BTCUSD_PERP,binance,2022/2/17 21:26,8238042,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:25,8243794,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:25,74545.485,,minutes
BTCUSDT,binance,2022/2/17 21:24,74608.58,,minutes
BTCUSD_PERP,binance,2022/2/17 21:24,8244593,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:23,8243273,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:23,75133.87,,minutes
BTCUSDT,binance,2022/2/17 21:22,75127.632,,minutes
BTCUSD_PERP,binance,2022/2/17 21:22,8247447,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:21,8244651,PERPETUAL,minutes
